student_id,age,gender,major,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,previous_gpa,semester,stress_level,dropout_risk,social_activity,screen_time,study_environment,access_to_tutoring,family_income_range,parental_support_level,motivation_level,exam_anxiety_score,learning_style,time_management_score,exam_score
114592,22,Other,Biology,2.0,2.4,0.7,No,66.8,7.1,Poor,0,Bachelor,Low,6.6,Yes,3.93,2,6.8,No,0,6.8,Library,Yes,Medium,10,9,6,Reading,3.6,91
103278,28,Male,Engineering,0.9,0.1,3.8,Yes,56.6,7.7,Good,2,Bachelor,High,6.8,Yes,4.0,3,7.1,No,1,5.7,Library,Yes,Medium,2,6,9,Visual,4.5,100
136048,21,Other,Computer Science,4.410359715726578,2.0,0.7,No,55.5,9.5,Good,0,High School,Medium,6.2,Yes,3.5,8,5.0,No,3,8.6,Quiet Room,Yes,Low,10,10,5,Reading,6.8,83
132098,16,Other,Psychology,3.4,3.2,3.9,No,71.9,5.6,Good,0,Master,Low,7.6,Yes,3.4,6,2.3,No,4,11.7,Library,Yes,Medium,4,5,10,Kinesthetic,4.8,88
129256,26,Female,Biology,8.6,2.0,3.3,Yes,70.0,7.6,Poor,3,Master,Medium,4.3,Yes,4.0,5,2.6,No,4,14.7,Library,No,High,7,10,5,Auditory,8.9,100
118289,25,Other,Biology,6.5,3.0,0.3,Yes,55.8,7.7,Good,0,Bachelor,High,8.3,No,4.0,3,4.6,No,2,11.4,Library,Yes,High,7,4,10,Kinesthetic,6.6,92
113434,24,Male,Psychology,0.1,1.9,0.5,No,42.9,5.9,Good,2,High School,Low,6.5,No,2.32,7,6.0,No,5,4.0,Quiet Room,No,High,5,6,9,Visual,6.1,49
171482,17,Male,Psychology,9.5,1.8,2.8,No,74.6,9.0,Poor,0,High School,High,2.6,Yes,4.0,8,4.9,No,4,14.2,Quiet Room,Yes,Medium,8,10,5,Reading,6.0,100
111395,21,Other,Engineering,4.6,3.1,2.7,No,74.9,8.7,Good,7,Bachelor,High,10,No,2.85,1,4.4,No,1,12.1,Cafe,No,High,4,3,10,Kinesthetic,3.1,73
177397,16,Female,Computer Science,9.311605748463005,4.8,2.2,Yes,57.2,5.3,Good,3,PhD,Medium,5.8,Yes,4.0,4,7.1,No,4,17.8,Cafe,No,High,10,5,10,Auditory,5.6,100
155302,25,Male,Biology,5.3,0.7,0.8,Yes,73.1,10.4,Fair,3,Bachelor,Low,9.9,Yes,4.0,6,2.3,No,0,7.4,Cafe,No,Low,7,7,8,Reading,4.2,91
104165,17,Female,Psychology,3.0,3.4,2.3,No,98.6,6.6,Fair,5,PhD,Medium,8.2,No,3.9,6,4.6,No,2,10.3,Cafe,Yes,Medium,7,6,9,Reading,6.7,94
103905,22,Other,Arts,2.9,2.9,3.3,No,69.8,7.2,Good,5,High School,High,7.1,Yes,4.0,1,8.0,No,5,9.2,Quiet Room,No,Medium,3,3,10,Auditory,3.4,100
112280,17,Other,Arts,4.9,3.0,2.5,Yes,42.3,9.1,Good,0,High School,High,8.9,No,3.94,6,5.3,No,2,10.6,Dorm,No,High,10,9,6,Visual,3.8,100
128657,19,Male,Business,5.0,4.1,3.4,Yes,68.6,8.5,Fair,4,Master,High,6.1,Yes,4.0,3,3.5,No,1,12.7,Cafe,No,High,7,8,7,Kinesthetic,5.0,100
130495,23,Male,Psychology,5.1,1.0,2.6,No,48.5,9.0,Fair,5,Master,High,10,No,3.57,1,5.5,No,1,9.5,Library,No,Low,7,4,10,Visual,7.2,92
166237,25,Male,Arts,1.4,1.7,0.9,No,44.3,6.4,Good,6,Bachelor,High,6.7,Yes,4.0,2,1.7,No,4,4.3,Quiet Room,Yes,Low,6,8,7,Visual,9.6,100
178907,22,Female,Arts,1.9,4.9,1.1,No,76.1,5.4,Fair,1,Master,Low,5.9,Yes,3.1,7,5.9,No,3,9.4,Co-Learning Group,Yes,Medium,7,10,5,Reading,6.2,66
103478,25,Female,Engineering,3.9,2.0,1.9,No,92.4,10.4,Good,7,Master,Low,8.4,Yes,4.0,2,3.3,No,0,8.2,Library,No,Low,2,9,6,Visual,3.9,100
173563,28,Male,Engineering,1.6,4.4,1.3,Yes,84.4,7.6,Fair,2,Some College,High,9.7,Yes,2.62,3,4.2,No,3,8.7,Dorm,No,High,10,1,10,Visual,7.3,70
126062,28,Female,Computer Science,6.995709615509524,4.9,0.8,Yes,73.3,8.9,Good,6,PhD,Low,8.2,No,3.17,6,8.5,Yes,0,14.4,Library,Yes,High,5,2,10,Auditory,2.2,81
171426,20,Male,Biology,3.1,4.0,0.9,No,76.7,4.6,Poor,3,Master,Low,8.7,Yes,2.43,7,5.6,No,1,9.3,Library,No,Low,1,4,10,Reading,7.9,60
154987,27,Other,Engineering,1.3,2.9,0.6,Yes,46.8,7.3,Fair,2,High School,High,4.6,Yes,3.4,6,6.0,No,2,6.1,Cafe,No,Medium,10,4,10,Kinesthetic,9.4,85
128893,28,Other,Psychology,6.2,2.0,2.9,Yes,82.6,7.6,Fair,0,Bachelor,Low,8.6,Yes,4.0,5,5.1,No,0,11.6,Quiet Room,Yes,Medium,1,5,10,Visual,1.3,100
158878,27,Male,Arts,6.7,0.2,2.4,Yes,96.1,8.0,Good,6,Some College,Medium,5.9,Yes,3.9,4,7.9,No,2,10.3,Cafe,Yes,High,5,8,7,Auditory,4.2,100
177236,28,Female,Psychology,4.4,2.3,2.9,No,47.6,7.9,Good,4,Bachelor,High,5.5,Yes,3.0,5,7.1,No,5,11.4,Library,No,High,6,4,10,Visual,5.7,75
